Daerah,Tahun,Bulan,Produksi (Ton)
Kabupaten Jember,2018,Februari,31838.6
Kabupaten Jember,2018,Maret,165472.05
Kabupaten Jember,2018,April,111530.26
Kabupaten Jember,2018,Mei,40754.12
Kabupaten Jember,2018,Juni,38624.65
Kabupaten Jember,2018,Juli,122318.78
Kabupaten Jember,2018,Agustus,67076.15
Kabupaten Jember,2018,September,23113.48
Kabupaten Jember,2018,Oktober,19357.78
Kabupaten Jember,2018,November,28968.2
Kabupaten Jember,2018,Desember,25901.76
Kabupaten Jember,2019,Januari,29468.15
Kabupaten Jember,2019,Februari,21073.97
Kabupaten Jember,2019,Maret,115230.9
Kabupaten Jember,2019,April,134786.68
Kabupaten Jember,2019,Mei,32701.75
Kabupaten Jember,2019,Juni,26713.72
Kabupaten Jember,2019,Juli,84094.99
Kabupaten Jember,2019,Agustus,86490.26
Kabupaten Jember,2019,September,19733.38
Kabupaten Jember,2019,Oktober,17230.71
Kabupaten Jember,2019,November,21370.6
Kabupaten Jember,2019,Desember,27963.3
Kabupaten Jember,2020,Januari,29029.62
Kabupaten Jember,2020,Februari,26409.82
Kabupaten Jember,2020,Maret,36596.59
Kabupaten Jember,2020,April,196286.86
Kabupaten Jember,2020,Mei,47264.43
Kabupaten Jember,2020,Juni,24994.79
Kabupaten Jember,2020,Juli,36935.86
Kabupaten Jember,2020,Agustus,101188.94
Kabupaten Jember,2020,September,32432.49
Kabupaten Jember,2020,Oktober,18238.87
Kabupaten Jember,2020,November,21390.09
Kabupaten Jember,2020,Desember,19495.01
Kabupaten Jember,2021,Januari,36210.9
Kabupaten Jember,2021,Februari,18863.96
Kabupaten Jember,2021,Maret,64984.91
Kabupaten Jember,2021,April,177542.27
Kabupaten Jember,2021,Mei,44381.16
Kabupaten Jember,2021,Juni,29393.99
Kabupaten Jember,2021,Juli,51095.72
Kabupaten Jember,2021,Agustus,96814.82
Kabupaten Jember,2021,September,32280.15
Kabupaten Jember,2021,Oktober,18427.65
Kabupaten Jember,2021,November,18608.02
Kabupaten Jember,2021,Desember,27094.32
Kabupaten Jember,2022,Januari,35404.42
Kabupaten Jember,2022,Februari,22279.31
Kabupaten Jember,2022,Maret,80842.89
Kabupaten Jember,2022,April,165118.25
Kabupaten Jember,2022,Mei,47605.94
Kabupaten Jember,2022,Juni,27983.74
Kabupaten Jember,2022,Juli,50290.03
Kabupaten Jember,2022,Agustus,86506.89
Kabupaten Jember,2022,September,35457.58
Kabupaten Jember,2022,Oktober,23723.25
Kabupaten Jember,2022,November,14589.77
Kabupaten Jember,2022,Desember,17569.12
Kabupaten Jember,2023,Januari,34925.84
Kabupaten Jember,2023,Februari,31132.97
Kabupaten Jember,2023,Maret,95937.54
Kabupaten Jember,2023,April,137142.62
Kabupaten Jember,2023,Mei,47046.27
Kabupaten Jember,2023,Juni,41220.51
Kabupaten Jember,2023,Juli,51435.82
Kabupaten Jember,2023,Agustus,83008.54
Kabupaten Jember,2023,September,28360.42
Kabupaten Jember,2023,Oktober,28950.4
Kabupaten Jember,2023,November,17780.19
Kabupaten Jember,2023,Desember,19784.65
Kabupaten Jember,2024,Januari,32137.3
Kabupaten Jember,2024,Februari,37948.27
Kabupaten Jember,2024,Maret,57034.31
Kabupaten Jember,2024,April,152124.69
Kabupaten Jember,2024,Mei,71085.24
Kabupaten Jember,2024,Juni,44278.07
Kabupaten Jember,2024,Juli,34662.48
Kabupaten Jember,2024,Agustus,84699.05
Kabupaten Jember,2024,September,47343.97
Kabupaten Jember,2024,Oktober,27712.36
Kabupaten Jember,2024,November,18045.13
Kabupaten Jember,2024,Desember,16194.01
Kabupaten Jombang,2018,Januari,1456.1
Kabupaten Jombang,2018,Februari,24501.94
Kabupaten Jombang,2018,Maret,112790.38
Kabupaten Jombang,2018,April,76791.59
Kabupaten Jombang,2018,Mei,2429.36
Kabupaten Jombang,2018,Juni,12685.0
Kabupaten Jombang,2018,Juli,72077.35
Kabupaten Jombang,2018,Agustus,47171.51
Kabupaten Jombang,2018,September,22980.74
Kabupaten Jombang,2018,Oktober,1716.1
Kabupaten Jombang,2018,November,9195.01
Kabupaten Jombang,2018,Desember,9978.21
Kabupaten Jombang,2019,Januari,3187.49
Kabupaten Jombang,2019,Februari,8133.39
Kabupaten Jombang,2019,Maret,55485.17
Kabupaten Jombang,2019,April,115053.7
Kabupaten Jombang,2019,Mei,15164.15
Kabupaten Jombang,2019,Juni,6224.26
Kabupaten Jombang,2019,Juli,39615.87
Kabupaten Jombang,2019,Agustus,46535.07
Kabupaten Jombang,2019,September,26115.76
Kabupaten Jombang,2019,Oktober,14597.8
Kabupaten Jombang,2019,November,5247.24
Kabupaten Jombang,2019,Desember,8876.44
Kabupaten Jombang,2020,Januari,5353.16
Kabupaten Jombang,2020,Februari,10135.68
Kabupaten Jombang,2020,Maret,25075.67
Kabupaten Jombang,2020,April,100096.01
Kabupaten Jombang,2020,Mei,58590.26
Kabupaten Jombang,2020,Juni,2468.91
Kabupaten Jombang,2020,Juli,29143.12
Kabupaten Jombang,2020,Agustus,34156.33
Kabupaten Jombang,2020,September,34813.05
Kabupaten Jombang,2020,Oktober,24130.68
Kabupaten Jombang,2020,November,9867.06
Kabupaten Jombang,2020,Desember,9333.97
Kabupaten Jombang,2021,Januari,2955.68
Kabupaten Jombang,2021,Februari,2059.76
Kabupaten Jombang,2021,Maret,52751.82
Kabupaten Jombang,2021,April,116041.31
Kabupaten Jombang,2021,Mei,15390.79
Kabupaten Jombang,2021,Juni,2263.33
Kabupaten Jombang,2021,Juli,32015.3
Kabupaten Jombang,2021,Agustus,45696.96
Kabupaten Jombang,2021,September,41002.98
Kabupaten Jombang,2021,Oktober,591.25
Kabupaten Jombang,2021,November,5498.04
Kabupaten Jombang,2021,Desember,10559.42
Kabupaten Jombang,2022,Januari,6587.3
Kabupaten Jombang,2022,Februari,1270.56
Kabupaten Jombang,2022,Maret,52063.26
Kabupaten Jombang,2022,April,107143.18
Kabupaten Jombang,2022,Mei,30334.59
Kabupaten Jombang,2022,Juni,2984.22
Kabupaten Jombang,2022,Juli,30468.69
Kabupaten Jombang,2022,Agustus,49348.01
Kabupaten Jombang,2022,September,36268.25
Kabupaten Jombang,2022,Oktober,4288.48
Kabupaten Jombang,2022,November,6489.33
Kabupaten Jombang,2022,Desember,9926.27
Kabupaten Jombang,2023,Januari,7806.56
Kabupaten Jombang,2023,Februari,2518.14
Kabupaten Jombang,2023,Maret,64491.48
Kabupaten Jombang,2023,April,106452.48
Kabupaten Jombang,2023,Mei,18359.34
Kabupaten Jombang,2023,Juni,3937.72
Kabupaten Jombang,2023,Juli,34672.39
Kabupaten Jombang,2023,Agustus,53117.41
Kabupaten Jombang,2023,September,29743.89
Kabupaten Jombang,2023,Oktober,8359.88
Kabupaten Jombang,2023,November,5740.72
Kabupaten Jombang,2023,Desember,11673.44
Kabupaten Jombang,2024,Januari,5836.85
Kabupaten Jombang,2024,Februari,1492.25
Kabupaten Jombang,2024,Maret,35665.07
Kabupaten Jombang,2024,April,114893.04
Kabupaten Jombang,2024,Mei,35472.13
Kabupaten Jombang,2024,Juni,3013.39
Kabupaten Jombang,2024,Juli,26482.26
Kabupaten Jombang,2024,Agustus,46113.19
Kabupaten Jombang,2024,September,40585.14
Kabupaten Jombang,2024,Oktober,13558.1
Kabupaten Jombang,2024,November,4065.05
Kabupaten Jombang,2024,Desember,15114.85
Kabupaten Kediri,2018,Januari,3391.66
Kabupaten Kediri,2018,Februari,12358.98
Kabupaten Kediri,2018,Maret,68788.9
Kabupaten Kediri,2018,April,34595.0
Kabupaten Kediri,2018,Mei,9261.07
Kabupaten Kediri,2018,Juni,12542.02
Kabupaten Kediri,2018,Juli,35752.48
Kabupaten Kediri,2018,Agustus,13536.18
Kabupaten Kediri,2018,September,6343.24
Kabupaten Kediri,2018,Oktober,6533.19
Kabupaten Kediri,2018,November,11487.45
Kabupaten Kediri,2018,Desember,5244.66
Kabupaten Kediri,2019,Januari,7363.99
Kabupaten Kediri,2019,Februari,10754.81
Kabupaten Kediri,2019,Maret,65559.19
Kabupaten Kediri,2019,April,43303.7
Kabupaten Kediri,2019,Mei,7956.93
Kabupaten Kediri,2019,Juni,6320.49
Kabupaten Kediri,2019,Juli,38096.62
Kabupaten Kediri,2019,Agustus,22075.46
Kabupaten Kediri,2019,September,4823.57
Kabupaten Kediri,2019,Oktober,1980.86
Kabupaten Kediri,2019,November,8067.92
Kabupaten Kediri,2019,Desember,6534.28
Kabupaten Kediri,2020,Januari,8536.85
Kabupaten Kediri,2020,Februari,6063.19
Kabupaten Kediri,2020,Maret,55726.05
Kabupaten Kediri,2020,April,56372.71
Kabupaten Kediri,2020,Mei,12634.62
Kabupaten Kediri,2020,Juni,5421.65
Kabupaten Kediri,2020,Juli,32666.34
Kabupaten Kediri,2020,Agustus,17713.75
Kabupaten Kediri,2020,September,5318.86
Kabupaten Kediri,2020,Oktober,4600.14
Kabupaten Kediri,2020,November,6485.08
Kabupaten Kediri,2020,Desember,4374.17
Kabupaten Kediri,2021,Januari,5048.24
Kabupaten Kediri,2021,Februari,5712.86
Kabupaten Kediri,2021,Maret,54046.94
Kabupaten Kediri,2021,April,49110.37
Kabupaten Kediri,2021,Mei,6952.79
Kabupaten Kediri,2021,Juni,4258.15
Kabupaten Kediri,2021,Juli,33539.58
Kabupaten Kediri,2021,Agustus,16184.12
Kabupaten Kediri,2021,September,4028.96
Kabupaten Kediri,2021,Oktober,5480.41
Kabupaten Kediri,2021,November,4398.58
Kabupaten Kediri,2021,Desember,9461.01
Kabupaten Kediri,2022,Januari,3982.84
Kabupaten Kediri,2022,Februari,6444.23
Kabupaten Kediri,2022,Maret,51324.93
Kabupaten Kediri,2022,April,40549.24
Kabupaten Kediri,2022,Mei,4447.09
Kabupaten Kediri,2022,Juni,4190.83
Kabupaten Kediri,2022,Juli,32404.48
Kabupaten Kediri,2022,Agustus,8527.89
Kabupaten Kediri,2022,September,4829.49
Kabupaten Kediri,2022,Oktober,905.44
Kabupaten Kediri,2022,November,6268.99
Kabupaten Kediri,2022,Desember,4978.1
Kabupaten Kediri,2023,Januari,8415.53
Kabupaten Kediri,2023,Februari,6410.77
Kabupaten Kediri,2023,Maret,50887.0
Kabupaten Kediri,2023,April,37963.58
Kabupaten Kediri,2023,Mei,8589.61
Kabupaten Kediri,2023,Juni,9214.37
Kabupaten Kediri,2023,Juli,28386.24
Kabupaten Kediri,2023,Agustus,11661.46
Kabupaten Kediri,2023,September,7517.03
Kabupaten Kediri,2023,Oktober,4514.02
Kabupaten Kediri,2023,November,4934.13
Kabupaten Kediri,2023,Desember,5040.02
Kabupaten Kediri,2024,Januari,4613.28
Kabupaten Kediri,2024,Februari,6863.24
Kabupaten Kediri,2024,Maret,35940.27
Kabupaten Kediri,2024,April,43962.98
Kabupaten Kediri,2024,Mei,10789.87
Kabupaten Kediri,2024,Juni,5172.9
Kabupaten Kediri,2024,Juli,23642.82
Kabupaten Kediri,2024,Agustus,18307.1
Kabupaten Kediri,2024,September,7389.2
Kabupaten Kediri,2024,Oktober,3892.17
Kabupaten Kediri,2024,November,5754.64
Kabupaten Kediri,2024,Desember,7743.73
Kabupaten Lamongan,2018,Januari,9068.71
Kabupaten Lamongan,2018,Februari,151407.53
Kabupaten Lamongan,2018,Maret,201693.85
Kabupaten Lamongan,2018,April,53572.68
Kabupaten Lamongan,2018,Mei,75277.47
Kabupaten Lamongan,2018,Juni,106307.88
Kabupaten Lamongan,2018,Juli,49252.29
Kabupaten Lamongan,2018,Agustus,92273.37
Kabupaten Lamongan,2018,September,133463.79
Kabupaten Lamongan,2018,Oktober,14511.79
Kabupaten Lamongan,2018,November,4441.35
Kabupaten Lamongan,2018,Desember,5382.2
Kabupaten Lamongan,2019,Januari,18379.62
Kabupaten Lamongan,2019,Februari,54279.39
Kabupaten Lamongan,2019,Maret,177487.12
Kabupaten Lamongan,2019,April,129375.8
Kabupaten Lamongan,2019,Mei,30154.6
Kabupaten Lamongan,2019,Juni,121092.47
Kabupaten Lamongan,2019,Juli,72815.97
Kabupaten Lamongan,2019,Agustus,93795.49
Kabupaten Lamongan,2019,September,101043.67
Kabupaten Lamongan,2019,Oktober,29095.4
Kabupaten Lamongan,2019,November,9353.87
Kabupaten Lamongan,2019,Desember,2851.03
Kabupaten Lamongan,2020,Januari,2079.32
Kabupaten Lamongan,2020,Februari,16730.65
Kabupaten Lamongan,2020,Maret,167716.11
Kabupaten Lamongan,2020,April,180318.87
Kabupaten Lamongan,2020,Mei,44788.12
Kabupaten Lamongan,2020,Juni,65078.01
Kabupaten Lamongan,2020,Juli,86458.58
Kabupaten Lamongan,2020,Agustus,155030.4
Kabupaten Lamongan,2020,September,99009.44
Kabupaten Lamongan,2020,Oktober,58638.27
Kabupaten Lamongan,2020,November,8964.89
Kabupaten Lamongan,2020,Desember,1248.33
Kabupaten Lamongan,2021,Januari,2132.47
Kabupaten Lamongan,2021,Februari,38919.57
Kabupaten Lamongan,2021,Maret,241442.22
Kabupaten Lamongan,2021,April,86994.09
Kabupaten Lamongan,2021,Mei,18362.12
Kabupaten Lamongan,2021,Juni,111250.47
Kabupaten Lamongan,2021,Juli,96313.56
Kabupaten Lamongan,2021,Agustus,87711.58
Kabupaten Lamongan,2021,September,83737.99
Kabupaten Lamongan,2021,Oktober,13852.22
Kabupaten Lamongan,2021,November,8874.96
Kabupaten Lamongan,2021,Desember,3070.84
Kabupaten Lamongan,2022,Januari,5039.56
Kabupaten Lamongan,2022,Februari,117228.39
Kabupaten Lamongan,2022,Maret,252152.07
Kabupaten Lamongan,2022,April,29708.78
Kabupaten Lamongan,2022,Mei,34231.15
Kabupaten Lamongan,2022,Juni,136533.66
Kabupaten Lamongan,2022,Juli,90623.69
Kabupaten Lamongan,2022,Agustus,75716.25
Kabupaten Lamongan,2022,September,62340.06
Kabupaten Lamongan,2022,Oktober,58046.74
Kabupaten Lamongan,2022,November,36736.27
Kabupaten Lamongan,2022,Desember,5525.67
Kabupaten Lamongan,2023,Januari,15162.11
Kabupaten Lamongan,2023,Februari,168447.67
Kabupaten Lamongan,2023,Maret,162628.39
Kabupaten Lamongan,2023,April,23649.89
Kabupaten Lamongan,2023,Mei,60610.06
Kabupaten Lamongan,2023,Juni,119010.87
Kabupaten Lamongan,2023,Juli,57823.47
Kabupaten Lamongan,2023,Agustus,71339.66
Kabupaten Lamongan,2023,September,98069.64
Kabupaten Lamongan,2023,Oktober,13885.52
Kabupaten Lamongan,2023,November,3877.64
Kabupaten Lamongan,2023,Desember,4199.93
Kabupaten Lamongan,2024,Januari,3983.57
Kabupaten Lamongan,2024,Februari,7386.26
Kabupaten Lamongan,2024,Maret,178246.94
Kabupaten Lamongan,2024,April,172955.82
Kabupaten Lamongan,2024,Mei,32427.6
Kabupaten Lamongan,2024,Juni,69402.94
Kabupaten Lamongan,2024,Juli,83230.6
Kabupaten Lamongan,2024,Agustus,90118.22
Kabupaten Lamongan,2024,September,111204.45
Kabupaten Lamongan,2024,Oktober,21822.91
Kabupaten Lamongan,2024,November,1497.6
Kabupaten Lamongan,2024,Desember,4013.75
Kabupaten Lumajang,2018,Januari,12003.15
Kabupaten Lumajang,2018,Februari,17676.5
Kabupaten Lumajang,2018,Maret,40959.73
Kabupaten Lumajang,2018,April,50655.28
Kabupaten Lumajang,2018,Mei,27033.08
Kabupaten Lumajang,2018,Juni,19094.26
Kabupaten Lumajang,2018,Juli,32128.64
Kabupaten Lumajang,2018,Agustus,38502.16
Kabupaten Lumajang,2018,September,12114.68
Kabupaten Lumajang,2018,Oktober,11610.27
Kabupaten Lumajang,2018,November,16089.82
Kabupaten Lumajang,2018,Desember,32869.25
Kabupaten Lumajang,2019,Januari,19131.24
Kabupaten Lumajang,2019,Februari,11339.24
Kabupaten Lumajang,2019,Maret,23096.22
Kabupaten Lumajang,2019,April,60579.46
Kabupaten Lumajang,2019,Mei,32167.38
Kabupaten Lumajang,2019,Juni,12401.87
Kabupaten Lumajang,2019,Juli,18567.33
Kabupaten Lumajang,2019,Agustus,39596.37
Kabupaten Lumajang,2019,September,22284.34
Kabupaten Lumajang,2019,Oktober,13936.79
Kabupaten Lumajang,2019,November,12834.7
Kabupaten Lumajang,2019,Desember,17959.28
Kabupaten Lumajang,2020,Januari,24849.94
Kabupaten Lumajang,2020,Februari,10569.43
Kabupaten Lumajang,2020,Maret,17740.79
Kabupaten Lumajang,2020,April,46662.41
Kabupaten Lumajang,2020,Mei,41602.08
Kabupaten Lumajang,2020,Juni,20889.57
Kabupaten Lumajang,2020,Juli,15563.06
Kabupaten Lumajang,2020,Agustus,33169.17
Kabupaten Lumajang,2020,September,25433.13
Kabupaten Lumajang,2020,Oktober,17466.2
Kabupaten Lumajang,2020,November,19949.68
Kabupaten Lumajang,2020,Desember,16792.75
Kabupaten Lumajang,2021,Januari,26504.42
Kabupaten Lumajang,2021,Februari,18700.53
Kabupaten Lumajang,2021,Maret,17623.87
Kabupaten Lumajang,2021,April,43349.94
Kabupaten Lumajang,2021,Mei,34869.73
Kabupaten Lumajang,2021,Juni,26434.92
Kabupaten Lumajang,2021,Juli,19935.8
Kabupaten Lumajang,2021,Agustus,22916.47
Kabupaten Lumajang,2021,September,25874.17
Kabupaten Lumajang,2021,Oktober,23075.44
Kabupaten Lumajang,2021,November,15297.66
Kabupaten Lumajang,2021,Desember,20492.57
Kabupaten Lumajang,2022,Januari,25843.22
Kabupaten Lumajang,2022,Februari,24130.7
Kabupaten Lumajang,2022,Maret,33313.22
Kabupaten Lumajang,2022,April,39020.58
Kabupaten Lumajang,2022,Mei,26150.05
Kabupaten Lumajang,2022,Juni,30555.16
Kabupaten Lumajang,2022,Juli,26449.33
Kabupaten Lumajang,2022,Agustus,17948.05
Kabupaten Lumajang,2022,September,15068.96
Kabupaten Lumajang,2022,Oktober,22117.27
Kabupaten Lumajang,2022,November,21622.65
Kabupaten Lumajang,2022,Desember,18609.82
Kabupaten Lumajang,2023,Januari,17374.42
Kabupaten Lumajang,2023,Februari,23227.76
Kabupaten Lumajang,2023,Maret,43359.1
Kabupaten Lumajang,2023,April,38600.12
Kabupaten Lumajang,2023,Mei,19698.68
Kabupaten Lumajang,2023,Juni,31116.16
Kabupaten Lumajang,2023,Juli,29020.53
Kabupaten Lumajang,2023,Agustus,25619.62
Kabupaten Lumajang,2023,September,14662.07
Kabupaten Lumajang,2023,Oktober,14336.35
Kabupaten Lumajang,2023,November,22294.89
Kabupaten Lumajang,2023,Desember,29336.38
Kabupaten Lumajang,2024,Januari,15245.06
Kabupaten Lumajang,2024,Februari,11931.89
Kabupaten Lumajang,2024,Maret,18735.4
Kabupaten Lumajang,2024,April,39259.49
Kabupaten Lumajang,2024,Mei,35045.14
Kabupaten Lumajang,2024,Juni,23910.3
Kabupaten Lumajang,2024,Juli,18379.41
Kabupaten Lumajang,2024,Agustus,27981.16
Kabupaten Lumajang,2024,September,22592.93
Kabupaten Lumajang,2024,Oktober,12990.92
Kabupaten Lumajang,2024,November,16588.7
Kabupaten Lumajang,2024,Desember,14460.25
Kabupaten Madiun,2018,Januari,812.18
Kabupaten Madiun,2018,Februari,29563.39
Kabupaten Madiun,2018,Maret,94455.58
Kabupaten Madiun,2018,April,22373.18
Kabupaten Madiun,2018,Mei,2076.72
Kabupaten Madiun,2018,Juni,60801.53
Kabupaten Madiun,2018,Juli,70771.25
Kabupaten Madiun,2018,Agustus,15288.49
Kabupaten Madiun,2018,September,2288.4
Kabupaten Madiun,2018,Oktober,37182.1
Kabupaten Madiun,2018,November,51983.96
Kabupaten Madiun,2018,Desember,17356.32
Kabupaten Madiun,2019,Januari,1459.34
Kabupaten Madiun,2019,Februari,6057.87
Kabupaten Madiun,2019,Maret,97968.41
Kabupaten Madiun,2019,April,48841.73
Kabupaten Madiun,2019,Mei,514.16
Kabupaten Madiun,2019,Juni,15722.39
Kabupaten Madiun,2019,Juli,108813.79
Kabupaten Madiun,2019,Agustus,31623.79
Kabupaten Madiun,2019,September,3788.9
Kabupaten Madiun,2019,Oktober,14438.33
Kabupaten Madiun,2019,November,70653.76
Kabupaten Madiun,2019,Desember,19409.97
Kabupaten Madiun,2020,Januari,8625.44
Kabupaten Madiun,2020,Februari,3599.98
Kabupaten Madiun,2020,Maret,75688.09
Kabupaten Madiun,2020,April,75453.66
Kabupaten Madiun,2020,Mei,5914.65
Kabupaten Madiun,2020,Juni,3685.5
Kabupaten Madiun,2020,Juli,101986.07
Kabupaten Madiun,2020,Agustus,46552.5
Kabupaten Madiun,2020,September,2497.94
Kabupaten Madiun,2020,Oktober,6569.86
Kabupaten Madiun,2020,November,81988.01
Kabupaten Madiun,2020,Desember,33490.68
Kabupaten Madiun,2021,Januari,8073.36
Kabupaten Madiun,2021,Februari,1449.23
Kabupaten Madiun,2021,Maret,95998.01
Kabupaten Madiun,2021,April,64029.3
Kabupaten Madiun,2021,Mei,5624.59
Kabupaten Madiun,2021,Juni,7925.8
Kabupaten Madiun,2021,Juli,114348.36
Kabupaten Madiun,2021,Agustus,40605.62
Kabupaten Madiun,2021,September,4684.54
Kabupaten Madiun,2021,Oktober,7270.5
Kabupaten Madiun,2021,November,76464.9
Kabupaten Madiun,2021,Desember,35323.91
Kabupaten Madiun,2022,Januari,9822.23
Kabupaten Madiun,2022,Februari,882.64
Kabupaten Madiun,2022,Maret,79297.09
Kabupaten Madiun,2022,April,62283.63
Kabupaten Madiun,2022,Mei,15005.43
Kabupaten Madiun,2022,Juni,5393.52
Kabupaten Madiun,2022,Juli,85856.55
Kabupaten Madiun,2022,Agustus,35339.54
Kabupaten Madiun,2022,September,11383.71
Kabupaten Madiun,2022,Oktober,4835.91
Kabupaten Madiun,2022,November,59472.63
Kabupaten Madiun,2022,Desember,32000.81
Kabupaten Madiun,2023,Januari,15149.5
Kabupaten Madiun,2023,Februari,12432.66
Kabupaten Madiun,2023,Maret,51074.27
Kabupaten Madiun,2023,April,67784.05
Kabupaten Madiun,2023,Mei,18840.65
Kabupaten Madiun,2023,Juni,16835.07
Kabupaten Madiun,2023,Juli,58885.89
Kabupaten Madiun,2023,Agustus,64726.23
Kabupaten Madiun,2023,September,11311.42
Kabupaten Madiun,2023,Oktober,15647.74
Kabupaten Madiun,2023,November,44917.28
Kabupaten Madiun,2023,Desember,59988.32
Kabupaten Madiun,2024,Januari,8285.96
Kabupaten Madiun,2024,Februari,8918.83
Kabupaten Madiun,2024,Maret,39832.58
Kabupaten Madiun,2024,April,99215.25
Kabupaten Madiun,2024,Mei,14346.55
Kabupaten Madiun,2024,Juni,9396.97
Kabupaten Madiun,2024,Juli,47977.38
Kabupaten Madiun,2024,Agustus,88020.15
Kabupaten Madiun,2024,September,13835.17
Kabupaten Madiun,2024,Oktober,9450.78
Kabupaten Madiun,2024,November,43346.02
Kabupaten Madiun,2024,Desember,54832.61
Kabupaten Magetan,2018,Januari,2772.92
Kabupaten Magetan,2018,Februari,37447.38
Kabupaten Magetan,2018,Maret,64277.42
Kabupaten Magetan,2018,April,12022.49
Kabupaten Magetan,2018,Mei,16196.5
Kabupaten Magetan,2018,Juni,60003.61
Kabupaten Magetan,2018,Juli,39175.87
Kabupaten Magetan,2018,Agustus,4642.18
Kabupaten Magetan,2018,September,5288.16
Kabupaten Magetan,2018,Oktober,14452.18
Kabupaten Magetan,2018,November,28624.57
Kabupaten Magetan,2018,Desember,4555.09
Kabupaten Magetan,2019,Januari,1764.91
Kabupaten Magetan,2019,Februari,12328.0
Kabupaten Magetan,2019,Maret,73480.11
Kabupaten Magetan,2019,April,15846.76
Kabupaten Magetan,2019,Mei,3883.66
Kabupaten Magetan,2019,Juni,37512.02
Kabupaten Magetan,2019,Juli,40005.35
Kabupaten Magetan,2019,Agustus,7737.99
Kabupaten Magetan,2019,September,4002.38
Kabupaten Magetan,2019,Oktober,13369.8
Kabupaten Magetan,2019,November,44835.16
Kabupaten Magetan,2019,Desember,5905.21
Kabupaten Magetan,2020,Januari,1286.08
Kabupaten Magetan,2020,Februari,9739.49
Kabupaten Magetan,2020,Maret,81796.4
Kabupaten Magetan,2020,April,32967.06
Kabupaten Magetan,2020,Mei,6049.4
Kabupaten Magetan,2020,Juni,19701.65
Kabupaten Magetan,2020,Juli,57586.8
Kabupaten Magetan,2020,Agustus,12990.54
Kabupaten Magetan,2020,September,2500.14
Kabupaten Magetan,2020,Oktober,32381.79
Kabupaten Magetan,2020,November,45301.6
Kabupaten Magetan,2020,Desember,6752.12
Kabupaten Magetan,2021,Januari,1155.68
Kabupaten Magetan,2021,Februari,14598.06
Kabupaten Magetan,2021,Maret,83757.28
Kabupaten Magetan,2021,April,19574.87
Kabupaten Magetan,2021,Mei,7084.68
Kabupaten Magetan,2021,Juni,40466.31
Kabupaten Magetan,2021,Juli,60346.04
Kabupaten Magetan,2021,Agustus,6912.65
Kabupaten Magetan,2021,September,6087.08
Kabupaten Magetan,2021,Oktober,20166.78
Kabupaten Magetan,2021,November,35362.71
Kabupaten Magetan,2021,Desember,11767.54
Kabupaten Magetan,2022,Januari,954.88
Kabupaten Magetan,2022,Februari,14151.19
Kabupaten Magetan,2022,Maret,71997.66
Kabupaten Magetan,2022,April,24588.75
Kabupaten Magetan,2022,Mei,4480.96
Kabupaten Magetan,2022,Juni,36569.8
Kabupaten Magetan,2022,Juli,46137.03
Kabupaten Magetan,2022,Agustus,8386.29
Kabupaten Magetan,2022,September,4144.08
Kabupaten Magetan,2022,Oktober,13897.89
Kabupaten Magetan,2022,November,31205.99
Kabupaten Magetan,2022,Desember,10185.37
Kabupaten Magetan,2023,Januari,2028.9
Kabupaten Magetan,2023,Februari,10593.63
Kabupaten Magetan,2023,Maret,77194.13
Kabupaten Magetan,2023,April,21362.07
Kabupaten Magetan,2023,Mei,4364.56
Kabupaten Magetan,2023,Juni,40705.82
Kabupaten Magetan,2023,Juli,42330.0
Kabupaten Magetan,2023,Agustus,15720.62
Kabupaten Magetan,2023,September,8137.28
Kabupaten Magetan,2023,Oktober,6433.18
Kabupaten Magetan,2023,November,32905.05
Kabupaten Magetan,2023,Desember,18816.85
Kabupaten Magetan,2024,Januari,796.67
Kabupaten Magetan,2024,Februari,7155.53
Kabupaten Magetan,2024,Maret,66837.97
Kabupaten Magetan,2024,April,33130.68
Kabupaten Magetan,2024,Mei,5830.76
Kabupaten Magetan,2024,Juni,36656.94
Kabupaten Magetan,2024,Juli,41017.12
Kabupaten Magetan,2024,Agustus,22281.28
Kabupaten Magetan,2024,September,706.15
Kabupaten Magetan,2024,Oktober,12222.39
Kabupaten Magetan,2024,November,26434.54
Kabupaten Magetan,2024,Desember,19176.02
Kabupaten Malang,2018,Januari,12267.24
Kabupaten Malang,2018,Februari,11593.92
Kabupaten Malang,2018,Maret,28946.68
Kabupaten Malang,2018,April,55664.58
Kabupaten Malang,2018,Mei,27351.58
Kabupaten Malang,2018,Juni,27238.83
Kabupaten Malang,2018,Juli,15560.16
Kabupaten Malang,2018,Agustus,22119.22
Kabupaten Malang,2018,September,29991.31
Kabupaten Malang,2018,Oktober,20920.14
Kabupaten Malang,2018,November,21286.76
Kabupaten Malang,2018,Desember,15079.48
Kabupaten Malang,2019,Januari,20509.11
Kabupaten Malang,2019,Februari,11416.22
Kabupaten Malang,2019,Maret,21724.71
Kabupaten Malang,2019,April,47780.37
Kabupaten Malang,2019,Mei,36030.88
Kabupaten Malang,2019,Juni,31549.23
Kabupaten Malang,2019,Juli,17582.24
Kabupaten Malang,2019,Agustus,17445.05
Kabupaten Malang,2019,September,26843.24
Kabupaten Malang,2019,Oktober,17450.11
Kabupaten Malang,2019,November,18576.79
Kabupaten Malang,2019,Desember,14164.31
Kabupaten Malang,2020,Januari,19687.31
Kabupaten Malang,2020,Februari,12929.94
Kabupaten Malang,2020,Maret,16296.26
